objno_deep2,ra_deep2,dec_deep2,zquality,u_apercor,g_apercor,r_apercor,i_apercor,i2_apercor,z_apercor,flag_cfhtls,cfhtls_source,subaru_source,zhelio
13027624,214.8128945877604,52.98794499092037,1,25.536802173025663,25.4626942613587,25.331810512202797,24.767236420346777,24.86764941669671,24.539226791422315,0,0,-99,1.6648405
12020064,214.69381912865384,52.63701496447902,4,23.802174441587187,23.59121847004275,23.2904104248876,22.990565341223643,23.01850892369738,22.49689209277641,0,0,0,1.3148261
13035227,214.99479772383563,53.05186526979378,4,23.661166403344424,22.389709178770147,21.35992679327027,20.78606209992535,20.839287100999016,20.466936031497514,0,0,-99,0.2976961
13039861,215.44887004502016,53.106100178309134,2,24.590983002972578,23.872463139157926,23.71300052800081,23.670066682192328,23.62879695748276,23.66354544788806,0,0,-99,1.1593236
12004737,214.1501237237525,52.436439314387826,4,24.374534745875643,24.22617523860108,23.892376568041882,23.26394051079954,23.267458221878083,22.99085326474513,0,0,0,0.8115658
14039099,215.9078872180855,53.62158405932496,4,24.03556399061403,23.795730941595156,23.463721986596905,23.501204458104734,-99.0,22.882937135349756,244,1,-99,1.1345333
14028856,215.68309738498024,53.51747400521708,3,23.793649644274158,23.35588640877899,22.92314799253858,22.535668753816456,-99.0,22.046690297341478,0,1,-99,1.2456169
12101365,214.11584281965412,52.45100827643182,2,25.533802913734128,24.262691731649255,23.04908143458334,22.425502913597022,22.440376464224595,22.062377506206264,0,0,0,0.34661272
13012950,214.6077218547928,52.83467772800941,4,24.814357200858787,24.17305325098687,23.33585999500052,23.052110867624272,23.051987321542143,22.859509809237984,0,0,0,0.37584454
12017121,214.25125490463347,52.57100538676059,2,27.374630491922808,25.462650153326926,24.378630157969187,23.746210264429163,23.80793519127333,23.49761226665642,0,0,0,0.41602623
11047390,213.89895435901119,52.35091384923908,1,24.612555716523925,23.65852941053803,23.101917024138547,22.827951709534315,-99.0,22.77995376543512,0,1,1,0.3582344
12007781,214.50172225030323,52.47276522091852,4,24.132070937568447,23.879581512956154,23.351886915999323,22.794762212874794,22.82870042130212,22.13651914854652,0,0,0,1.2407736
13049789,215.30537274991983,53.122994346638734,4,24.338976404015668,24.051433196744522,23.704194183968486,23.007615754553857,23.02047332868083,22.744819967831248,0,0,-99,0.842587
11051641,214.2148687755982,52.38408103273832,4,23.248150355198987,21.80024757779883,20.792938834265005,20.188586977710653,20.211561458698267,19.88443658258182,0,0,0,0.24835335
12024164,214.67885571252035,52.73180598347972,1,24.17599327230287,23.809622132019868,23.711738713830837,23.368761402200196,23.3656862181458,23.125642381212778,0,0,0,1.6706786
11027803,213.6999211481415,52.18937041339814,2,25.298889093134942,24.700526881648692,23.958211149317886,23.31530295185228,-99.0,22.840517086383308,0,1,1,1.122474
12005820,213.93480269492463,52.413628905860605,3,25.899494704049346,24.411211324792934,22.943257129955576,21.684937118157347,-99.0,21.262541970777143,0,1,1,0.7664591
12012817,214.24895589240955,52.51927487870853,4,24.571261463764042,24.28337214881593,23.567687133565634,22.977698811810978,23.026020782900048,22.3472716025744,252,0,0,1.2156806
14039521,215.7683096425761,53.63650266247714,4,24.641941294362542,24.295559979733664,23.63871825148382,23.24412562745199,-99.0,23.53144742309858,244,1,-99,0.580145
13042980,215.04009206162004,53.11676856713166,2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99,-99,1.4585295
12013080,214.20504754093656,52.529630571138114,3,24.184588554528204,24.12581973892093,24.094092300485684,23.842857804021374,23.871927211962646,23.562370766990746,0,0,0,1.167257
12012220,214.5067036390707,52.539251747712115,2,26.090673011611624,25.09611208277246,23.945005189731063,22.780095191491363,22.841153111667087,22.324402090326334,0,0,0,0.74296397
11027872,213.66694053271448,52.13629549521738,4,99.0,99.0,99.0,99.0,-99.0,99.0,244,1,1,1.1768233
12012824,214.24636217354234,52.51463273249283,2,23.945209575198533,23.673667698618203,23.09718038230198,22.63510074164092,22.663085535071357,22.488962592037222,0,0,0,0.80274475
13018614,214.99073993653624,52.91996636334079,4,25.142183217650874,23.966454691372764,22.855531710562587,21.75699065409198,21.824747053814885,21.321600356156868,0,0,-99,0.7477787
11039787,213.9872541527261,52.287864789093874,4,23.230999048278488,23.242604335828027,23.131459899074304,22.883717950276374,-99.0,22.46814543939725,0,1,1,1.0462581
13043640,214.99249807965276,53.06442079610133,4,24.050331801429532,23.73793415404202,23.180378141114467,22.70455578458687,22.728379173024788,22.578214923861736,0,0,-99,0.67923766
14023625,215.60792244993732,53.48880135000218,4,24.99831674680271,24.209815361976503,23.55488045538817,23.168744169957524,-99.0,23.170280516176632,0,1,-99,0.3561838
11047662,213.81419317004983,52.31940111264157,4,24.17007109115038,24.169047525536627,24.088470727964943,23.63250094562176,-99.0,23.56253570116244,0,1,1,1.0240102
13033698,215.15181570146933,53.02173855170986,-2,25.021028593709815,24.743187002670737,24.61957433905258,24.479545964611606,24.531400764537384,24.381348725521082,0,0,-99,0.0019994157
13050508,215.22530909241183,53.16789263951796,4,24.05296833343628,23.889800528062068,23.557025275461807,23.090344057178076,23.145476663821835,22.64795182171366,252,0,-99,1.0898075
12025123,214.4809311159937,52.73688682897773,2,24.809995441650084,24.52685368665667,23.965060419572875,23.38538819198498,23.422137575049994,22.746850165543055,0,0,0,1.2338183
12020806,214.3861986781245,52.6374311477357,1,24.89986976989626,23.63525087226948,22.448312522989575,21.941378627044738,21.961630778774516,21.699525789020537,0,0,0,1.5403818
13051165,215.09524284274954,53.129535317377304,4,26.150256675248695,25.04999539308564,23.655192480609497,22.493010280116543,22.55844591306507,21.65574996271098,0,0,-99,1.1760777
12016728,214.3417651818217,52.60192375072984,-2,22.433656451277006,21.546531157430802,20.94345682362127,20.658940546823974,20.67477195209946,20.54828821587171,0,0,0,-4.316958e-05
14011348,215.6646180174387,53.35788388695801,4,99.0,25.622387611626223,23.90941646564064,22.707066035864653,-99.0,22.24893263850969,0,1,-99,0.7658235
13042294,215.15428463255836,53.08139393758029,4,23.169566908019632,22.891771857215545,22.425052241150812,21.91713803501019,21.990312840960414,21.446153826373248,0,0,-99,1.0831059
11051510,214.27088285688828,52.38497828843174,1,26.183553827632984,24.791550215009586,23.7360099781611,22.815668552059265,22.887977013694158,22.18107299245687,0,0,0,0.14760211
11040267,213.95803866416105,52.27432654136646,2,21.889878361704945,20.712138938032652,20.17560022876582,19.91784861629654,-99.0,19.816116290944198,0,1,1,0.0740352
13051813,215.0217510282738,53.125113748625154,2,24.827479036984297,23.921016441978026,23.67354375536674,23.62020533259601,23.599746290835366,23.604783714389256,0,0,-99,0.5792283
14011144,215.75148679825415,53.36581495523569,4,24.692246208098187,23.61119935279408,22.30004752847391,21.137968603278434,-99.0,20.74211440713611,0,1,-99,0.72344434
12004689,214.15250351450817,52.40599242539611,4,24.08958601541239,23.91540482552723,23.74467144673181,23.331393660941718,23.348119840769566,22.82557807136507,0,0,0,1.1924925
13063871,215.51054406964678,53.250834036807646,4,24.13952184331659,24.087029721320402,24.087453561700993,23.75435043045842,-99.0,23.83561475731575,0,1,-99,1.1838613
13044068,214.90718794752502,53.08928665245185,-1,27.71156108252156,25.05308235327288,23.737928743724694,23.08175690566063,-99.0,22.8063009736635,0,1,-99,-0.0007318413
